name,description,image_url,location
"Olive oil","Olive oil is a natural oil extracted from olives, commonly used in cooking and salad dressings. Rich in monounsaturated fats and antioxidants, it offers various health benefits including anti-inflammatory properties.","https://cdn.britannica.com/55/157155-050-D07F5610/Containers-olive-oil.jpg","fridge"
"Garlic","Garlic is a pungent bulb used worldwide as a seasoning. It enhances the flavor of dishes and is known for its potential health benefits, such as boosting the immune system and reducing blood pressure.","https://files.nccih.nih.gov/files/garlic-ThinkstockPhotos-514990456-square.jpg","pantry"
"Onion","Onions are aromatic bulbs used as a base in many dishes. They add depth of flavor and are rich in vitamins, minerals, and antioxidants.","https://fthmb.tqn.com/c5TmKk9QAUIugYJLlBGDvI64u2o=/2500x1667/filters:fill(auto,1)/onions-2500-5839b12d5f9b58d5b1107a90.jpg","pantry"
"Tomato","Tomatoes are versatile fruits used in a variety of dishes. They are a great source of vitamin C, potassium, and the antioxidant lycopene.","https://www.nature-and-garden.com/wp-content/uploads/sites/4/2018/10/growing-tomatoes.jpg","pantry"
"Salt","Salt is a mineral composed primarily of sodium chloride. It's used to enhance flavor and preserve food, but should be consumed in moderation.","https://img.washingtonpost.com/rf/image_1484w/2010-2019/WashingtonPost/2015/11/17/Production/LocalLiving/Images/we-salt1119.jpg?uuid=sFWP4I1lEeWs_2c66S3dKw","freezer"
"Black pepper","Black pepper is a spice made from dried peppercorns. It adds heat and depth to dishes and has antioxidant and anti-inflammatory properties.","https://www.puro.pk/wp-content/uploads/2019/01/6-Benefits-of-Black-Pepper-some-of-its-will-surprise-you.jpg","fridge"
"Basil","Basil is a fragrant herb used in many cuisines. It adds a fresh, aromatic flavor and is rich in vitamins and antioxidants.","https://cdn.loveandlemons.com/wp-content/uploads/2019/07/IMG_2600-2-1.jpg","freezer"
"Oregano","Oregano is a Mediterranean herb known for its strong, peppery flavor. It's often used in Italian and Greek cooking.","https://static.fanpage.it/wp-content/uploads/sites/22/2018/11/oregano.jpg","pantry"
"Thyme","Thyme is a herb with a subtle, dry aroma and slightly minty flavor. It's used in seasoning blends and pairs well with meats and vegetables.","https://www.gardeningknowhow.com/wp-content/uploads/2020/11/potted-thyme-plant.jpg","fridge"
"Rosemary","Rosemary is a fragrant herb with needle-like leaves. It adds a woodsy flavor to dishes and is rich in antioxidants.","https://www.thespruce.com/thmb/j0CO_3dk_WG0_-v_0yiECJcKOP8=/5616x3744/filters:fill(auto,1)/rosemary-herb-plant-vegetable-garden-fresh-green-leaf-sprigs-close-up-182819163-585316865f9b586e023c2488.jpg","fridge"
"Chicken breast","Chicken breast is a lean protein source commonly used in a variety of dishes. It's low in fat and high in essential nutrients.","https://www.simplyrecipes.com/thmb/sSzNLyBEtqtjHlgSrvdWo2L86eU=/5156x3437/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Grilled-Chicken-LEAD-SEO-Horizontal-1b86ef1e115444ba8b6fb216f2810c7c.jpg","pantry"
"Beef steak","Beef steak is a cut of meat from cattle, known for its rich flavor and tenderness when cooked properly.","https://cdn.shopify.com/s/files/1/2255/3255/products/Square__0001_beef_rib_eye_steak_boneless_cbbd997f-ae8d-448f-b230-88654f496c11.jpg?v=1579445558","freezer"
"Salmon","Salmon is a fatty fish rich in omega-3 fatty acids, protein, and vitamin D. It's versatile and can be grilled, baked, or smoked.","https://www.marionmizzi.com/wp-content/uploads/2019/11/wild-alaskan-salmon.jpg","fridge"
"Shrimp","Shrimp are small crustaceans used in many cuisines. They are low in calories and rich in protein and nutrients like selenium.","https://www.eatwell101.com/wp-content/uploads/2019/07/easy-Shrimp-Recipe-2.jpg","pantry"
"Flour","Flour is a powder made by grinding raw grains or roots. It's a staple ingredient in baking and cooking for thickening sauces.","https://upload.wikimedia.org/wikipedia/commons/6/64/All-Purpose_Flour_(4107895947).jpg","fridge"
"Sugar","Sugar is a sweet crystalline substance obtained from sugar cane or sugar beet. It's used as a sweetener in various dishes.","https://www.theflavorbender.com/wp-content/uploads/2022/12/shutterstock_1888990465-780x520.jpg","pantry"
"Butter","Butter is a dairy product made from churning cream. It adds richness and flavor to dishes and is used in baking and cooking.","https://www.tastingtable.com/img/gallery/18-types-of-butter-and-what-each-is-used-for/l-intro-1672833027.jpg","pantry"
"Milk","Milk is a nutrient-rich liquid food produced by mammals. It's a common ingredient in cooking and baking.","http://upload.wikimedia.org/wikipedia/commons/2/28/Milk_001.JPG","fridge"
"Eggs","Eggs are versatile ingredients used in many recipes. They provide protein and help bind ingredients together in cooking.","https://www.tasteofhome.com/wp-content/uploads/2017/10/Hard-Cooked-Eggs_exps29222_W101973175C05_17_2bC_RMS.jpg","freezer"
"Cheese","Cheese is a dairy product derived from milk. It comes in various flavors and textures, used in cooking, baking, and as a topping.","https://www.nutritionadvance.com/wp-content/uploads/2018/02/delicious-types-of-cheese.jpg","pantry"
"Carrot","Carrots are root vegetables known for their sweetness and crunch. They are rich in beta-carotene, fiber, and antioxidants.","https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg","fridge"
"Potato","Potatoes are starchy tubers used worldwide. They can be baked, boiled, or fried and are rich in vitamins and minerals.","https://www.finedininglovers.com/sites/g/files/xknfdk626/files/2020-12/baby_potatoes%C2%A9iStock.jpg","fridge"
"Spinach","Spinach is a leafy green vegetable rich in iron, calcium, and vitamins. It's used in salads, cooking, and smoothies.","https://www.farmflavor.com/wp-content/uploads/2020/05/iStock-916931074-2-scaled.jpg","fridge"
